"Brancher","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","sum"
"01000 Landbrug og gartneri-(Tilgang)",0.120918068072672,0.466210461655336,0,0,0,0.00813344689000138,0.195839008693811,0.208899014688179,4043.796
"02000 Skovbrug-(Tilgang)",0,0,0,0.278078290889468,0,0.0169558744173044,0,0.704965834693227,307.622
"03000 Fiskeri-(Tilgang)",0.62722803732067,0,0,0,0,0.0779074563310259,0.294864506348304,0,89.709
"06090 Råstofindvinding-(Tilgang)",0,0.0202041049331214,0.00279722122199485,0,0,0.106882832878108,0.870115840966776,0,227.726
"10120 Føde-, drikke- og tobaksvareindustri-(Tilgang)",0.413541774124934,0.562825575622911,0,0,0,0.00777749619533532,0.0158551540568196,0,27258.644
"13150 Tekstil- og læderindustri-(Tilgang)",0,0,0.000104143737292689,0,0,0.025205151327951,0.974690704934756,0,1267.479
"16000 Træindustri-(Tilgang)",0,0,0.471137449784522,0.034392342887008,0,0.0936100665701112,0.400860140758359,0,225.777
"17000 Papirindustri-(Tilgang)",0,0,0,0,0,0.142996011523574,0.857003988476426,0,169.739
"18000 Trykkerier mv.-(Tilgang)",0,0,0,0,0,0.398485180052034,0.601514819947966,0,82.254
"19000 Olieraffinaderier mv.-(Tilgang)",0,0,0,0.0325156265208893,0.9670567158525,0.000354490520173733,0.0000731671064366008,0,6081.968
"20000 Kemisk industri-(Tilgang)",0.0455739684880046,0.113598991950769,0.148870258103477,0,0.0000653558889577304,0.0813828957538715,0.610505915579363,0.00000261423555830922,1147.563
"21000 Medicinalindustri-(Tilgang)",0.000515682872275227,0.0231054140431888,0,0,0,0.115665003628589,0.860713899455947,0,637.989
"22000 Plast- og gummiindustri-(Tilgang)",0,0,0.143192478762541,0,0,0.146414016115781,0.710393505121678,0,494.174
"23000 Glas- og betonindustri-(Tilgang)",0,0,0.897332472389705,0,0,0.0502209662135532,0.0508130047212136,0.00163355667552768,1192.49
"24000 Fremst. af metal-(Tilgang)",0,0,0.0789266758403774,0,0,0.620994692353057,0.299931197169255,0.000147434637310792,40.696
"25000 Metalvareindustri-(Tilgang)",0,0,0.118726945445322,0,0,0.436684972785311,0.441987329354274,0.00260075241509353,327.213
"26000 Elektronikindustri-(Tilgang)",0,0,0.00699065366534465,0,0,0.137649397866467,0.846645374008229,0.00871457445995858,968.722
"27000 Fremst. af elektrisk udstyr-(Tilgang)",0,0,0.0261072763203492,0,0,0.27566942334529,0.69822330033436,0,213.542
"28000 Maskinindustri-(Tilgang)",0,0,0.111231724522164,0,0,0.446555179137874,0.442213096339962,0,556.415
"29000 Fremst. af motorkøretøjer og dele hertil-(Tilgang)",0,0,0.0000632216154703293,0,0,0.782817945455551,0.217118832928978,0,126.539
"30000 Fremst. af skibe og andre transportmidler-(Tilgang)",0,0,0.00161838414594248,0,0,0.136799263657025,0.861582352197033,0,458.482
"31320 Møbel- og anden industri-(Tilgang)",0,0,0.00106063713395959,0,0,0.039091758429239,0.943594168981632,0.0162534354551699,3379.101
"33000 Reparation og installation af maskiner og udstyr-(Tilgang)",0,0,0,0,0,0.81429526959236,0.18570473040764,0,53.822
"35000 Energiforsyning-(Tilgang)",0,0,0,0.997322908164012,0.0000102332836764401,0.00180573467660694,0.000861123875704777,0,21596.196
"36000 Vandforsyning-(Tilgang)",0,0,0.999540024114297,0,0,0.000163408931797163,0.000296566953906257,0,3702.368
"37390 Renovation, affaldsbehandling mv.-(Tilgang)",0,0,0.539331362811486,0.147297917642095,0,0.00186727718737145,0.000463838419241995,0.311039603939805,14425.282
"41430 Bygge og anlæg-(Tilgang)",0,0,0.836932293289679,0,0,0.163067706710321,0,0,3648.693
"45000 Bilhandel og -værksteder mv.-(Tilgang)",0,0,0.00703246632053355,0.000481045234868357,0.0121119685251437,0.88235859034098,0.0980142364504477,0.00000169312802646635,25396.78
"46000 Engroshandel-(Tilgang)",0.0990877375513686,0.247313800926598,0.0232522671366355,0.02943186914836,0.0210423359323982,0.0544588212169632,0.5109515018463,0.014461666241377,48041.767
"47000 Detailhandel-(Tilgang)",0.125243286150794,0.24686713809048,0.00647726332929678,0.000922237070333468,0.0087086393755653,0.00994265380206288,0.619245468534087,-0.0174066863526199,85910.665
"49000 Landtransport-(Tilgang)",0,0,0,0,0,0.999574201044087,0.000425798955913198,0,14840.337
"50000 Skibsfart-(Tilgang)",0,0,0,0,0,0.995669909331155,0.00433009066884498,0,2311.268
"51000 Luftfart-(Tilgang)",0,0,0,0,0,0.991837111403945,0.00816288859605495,0,195.029
"52000 Hjælpevirksomhed til transport-(Tilgang)",0,0,0,0,0,0.995837314810736,0.00416268518926363,0,4449.772
"53000 Post og kurertjeneste-(Tilgang)",0,0,0,0,0,0.334651702322555,0.0142138440158318,0.651134453661613,350.433
"55560 Hoteller og restauranter-(Tilgang)",0,0,0,0,0,0.00157904236934298,0.000153475306855575,0.998267482323801,48138.037
"58000 Udgivervirksomhed-(Tilgang)",0,0,0,0,0,0.00925985966473432,0.949574641355641,0.0411654989796248,6014.454
