Quarter,Year,Food and non-alcoholic beverages  [C11],Food  [C111],Non-alcoholic beverages  [C112],"Alcoholic beverages,  tobacco and cannabis  [C12]",Alcoholic beverages  [C121],Tobacco  [C122],Cannabis  [C123],Clothing and footwear  [C13],Clothing  [C131],Footwear  [C132],"Housing, water, electricity, gas and other fuels  [C14]",Paid rental fees for housing  [C141],Imputed rental fees for housing  [C142],Maintenance and repair of the dwelling  [C143],Water supply and sanitation services  [C144],"Electricity, gas and other fuels  [C145]","Furnishings, household equipment and other goods and services related to the dwelling and property  [C15]","Furniture, furnishings, carpets and other floor coverings  [C151]",Household textiles  [C152],Household appliances  [C153],Tools and equipment for house and garden  [C154],Other goods and services related to the dwelling and property  [C155],Health  [C16],"Medical products, appliances and equipment  [C161]",Out-patient services  [C162],Hospital services  [C163],Transport  [C17],Purchase of vehicles  [C171],Operation of transport equipment  [C172],Transport services  [C173],Communications  [C18],Communications  [C181],Recreation and culture  [C19],"Audio-visual, photographic and information processing equipment  [C191]",Other major durables for recreation and culture  [C192],"Other recreational items and equipment, garden products and pets  [C193]",Recreational and cultural services  [C194],"Newspapers, books and stationery  [C195]",Education  [C21],Education  [C211],"Food, beverage and accommodation services  [C22]",Food and beverage services  [C221],Accommodation services  [C222],Insurance and financial services  [C23],Insurance  [C231],Financial services indirectly measured  [C232],Other financial services  [C233],Miscellaneous goods and services  [C24],Personal care  [C241],Personal effects  [C242],Social services  [C243],Other services  [C244],Net expenditure abroad  [C25],Expenditure by Canadians abroad  [C251],Expenditure by non-residents in Canada  [C252],Household final consumption expenditure  [C],Goods  [CG],Durable goods  [CD],Semi-durable goods  [CSD],Non-durable goods  [CND],Services  [CS]
Q1,1999,"74,706","66,589","8,098","34,935","12,832","20,372","3,771","23,544","20,124","3,410","159,251","34,096","93,697","2,260","4,880","24,612","33,260","8,307","2,012","3,606","3,343","16,359","23,095","9,829","11,917","1,777","105,551","36,306","56,691","15,042","12,797","12,797","53,849","4,047","4,704","11,401","31,438","7,036","9,901","9,901","57,396","49,833","7,585","54,166","17,129","16,465","20,448","36,438","15,152","5,379","9,215","6,868","-10,196","15,241","-25,437","664,922","304,722","69,324","40,395","202,117","359,999"
Q2,1999,"75,420","67,226","8,175","35,138","13,065","20,135","3,815","23,760","20,289","3,463","160,377","34,278","94,242","2,270","4,904","25,034","33,500","8,394","2,026","3,630","3,335","16,481","23,368","9,935","12,087","1,783","105,444","36,392","56,545","14,929","13,070","13,070","54,840","4,249","4,574","11,543","32,003","7,128","9,859","9,859","57,573","50,169","7,443","54,818","17,285","16,583","20,832","36,530","15,241","5,336","9,335","6,793","-8,908","15,424","-24,332","671,110","307,230","69,728","40,832","203,872","363,701"
Q3,1999,"75,778","67,565","8,196","35,530","13,278","20,220","3,863","24,019","20,516","3,494","161,451","34,421","94,782","2,292","4,920","25,437","34,122","8,643","2,088","3,704","3,352","16,681","23,828","10,149","12,321","1,796","108,246","38,371","56,880","14,842","13,185","13,185","55,916","4,350","4,708","11,746","32,549","7,253","9,861","9,861","57,717","50,352","7,410","55,289","17,302","16,807","21,068","36,874","15,363","5,393","9,434","6,863","-9,376","16,073","-25,449","679,110","312,734","72,419","41,453","205,422","366,051"
Q4,1999,"76,883","68,547","8,318","36,183","13,968","19,850","3,908","24,048","20,655","3,372","161,477","34,648","95,409","2,293","4,929","24,363","34,161","8,656","2,057","3,745","3,335","16,706","24,128","10,301","12,448","1,815","109,658","39,643","56,552","14,825","13,703","13,703","56,533","4,517","4,444","11,707","33,280","7,258","9,895","9,895","58,633","51,259","7,432","55,751","17,584","16,751","21,298","37,155","15,463","5,490","9,513","6,869","-9,134","16,800","-25,934","685,674","315,374","73,608","41,458","206,819","370,003"
Q1,2000,"77,572","69,704","7,909","35,652","13,566","19,659","3,949","24,635","21,061","3,563","162,949","34,766","96,158","2,315","5,002","24,960","34,936","8,931","2,088","3,807","3,405","17,038","24,448","10,478","12,537","1,860","110,472","39,800","57,362","14,817","14,204","14,204","57,770","4,716","4,629","11,994","33,696","7,221","10,035","10,035","59,400","51,904","7,552","56,455","17,619","16,888","21,842","37,397","15,560","5,585","9,541","6,887","-9,771","16,643","-26,414","693,153","319,402","75,200","42,298","207,943","373,405"
Q2,2000,"78,097","70,149","7,986","35,724","13,650","19,507","3,993","24,840","21,277","3,547","164,494","34,939","96,873","2,332","5,043","25,646","35,295","9,108","2,123","3,873","3,423","17,068","24,825","10,745","12,574","1,905","110,976","40,190","56,926","15,153","14,584","14,584","58,388","4,833","4,783","12,122","33,819","7,165","10,047","10,047","59,893","52,393","7,563","56,891","17,675","17,113","22,001","37,519","15,727","5,520","9,576","6,862","-9,494","16,883","-26,377","699,167","322,149","76,242","42,610","209,213","376,670"
Q3,2000,"78,177","70,184","8,027","35,896","13,779","19,441","4,031","25,396","21,697","3,689","165,800","35,156","97,631","2,381","5,068","25,913","35,750","9,204","2,168","3,895","3,512","17,285","25,038","10,815","12,676","1,957","113,682","41,834","57,563","15,280","14,782","14,782","59,675","4,944","4,952","12,487","34,304","7,345","10,120","10,120","60,536","52,917","7,678","57,291","17,635","17,361","22,202","37,987","15,939","5,647","9,638","6,921","-9,321","16,953","-26,274","708,086","327,237","78,544","43,663","210,271","380,423"
Q4,2000,"78,583","70,488","8,124","36,105","13,913","19,422","4,069","25,405","21,758","3,631","167,166","35,309","98,307","2,392","5,101","26,450","35,984","9,274","2,190","3,891","3,555","17,395","25,291","10,894","12,846","1,976","109,535","37,721","58,419","15,622","14,999","14,999","60,755","5,080","5,055","12,646","35,038","7,297","10,207","10,207","61,013","53,346","7,728","57,363","17,621","17,275","22,371","38,477","16,146","5,787","9,695","7,001","-9,184","17,454","-26,638","709,379","325,135","75,477","43,869","211,938","384,033"
Q1,2001,"79,189","71,055","8,165","36,310","14,012","19,469","4,103","25,599","21,931","3,651","167,062","35,481","98,910","2,381","5,141","25,416","36,774","9,688","2,257","4,009","3,591","17,487","25,809","11,158","13,087","1,983","111,242","38,931","58,782","15,513","15,171","15,171","61,171","5,253","5,002","12,704","35,136","7,231","10,273","10,273","61,799","54,117","7,755","57,588","17,719","17,441","22,333","38,627","16,254","5,835","9,753","6,931","-9,196","18,146","-27,342","715,313","328,368","77,508","44,315","212,150","386,691"
Q2,2001,"79,168","70,955","8,237","36,297","14,166","19,108","4,137","26,202","22,365","3,830","167,415","35,644","99,674","2,397","5,174","24,722","36,822","9,578","2,265","4,044","3,609","17,605","26,201","11,352","13,270","1,996","111,810","39,906","58,623","14,970","15,394","15,394","61,216","5,288","5,093","12,834","34,770","7,252","10,315","10,315","61,110","53,453","7,722","57,907","17,872","17,474","22,466","38,912","16,399","5,829","9,829","7,002","-10,056","17,140","-27,196","716,541","330,294","78,510","45,178","211,676","385,880"
