"komnr","year","kommunenavn","bef","bef0_19","bef1_5","bef6_12","bef13_15","bef67_79","bef80_89","bef90_","kommunaleveierkm","psyk_17","psyk18_66","knavn","andel_k_bh","barn_k_bh","barn_k_bh_pi","andel_tettbygd","VoteShareLEFT","ENoP","ntodrres","ntodr","n_driftres","u_adm","u_gs","u_utd","u_bh","u_hs","u_sos","u_bv","u_plo","u_kul","u_kv","u_var","u_inf","u_ann","bef_0_5","bef_6_15","bef_16_66","bef_67_79","bef_80_89","bef_90_","skilte_16_59","arbledig_16_59","dod","ikke_gifte_67_","pu_o16","driftsenheter","areal_total","landbrukseiendom","bef_16_22","bef_23_66","sone_snitt","innv_6_15","barn_enslig","fattige","ufor_18_49","flyktninger","opphopning","innb_hoyere_utd","bef_0_1","bef_2_5","barn_u_ks","vertskom_ant","rens_sum","rensekap","int_til","aleneboende","snomengde","snodager","rkb_utg","rkb_ant","rkb_utg_selv","frie","frie_tot","y"
101,2014,"Halden",30132,7183,1719,2482,1070,3186,1259,299,188,234,765,"Halden",22.2000007629395,365,0.0121133681386709,0.858000040054321,0.367381602525711,3.87883687019348,0.100000001490116,2169,0.0719832703471184,4.2245785211735,10.3337647683526,0.636930837647684,6.72411389884508,2.65312624452409,2.63450816407806,1.9271870436745,19.8128235762644,1.68847072879331,0.284780300013275,3.31232576662684,2.95340501792115,8.87591265100226,2016,3571,19784,3323,1231,305,2007,459,200,2191,112,206,642.23,619,2775,17009,77863.798,198,893,1367,703,1019,1.38698784,5869,620,1396,174.63,13,18539,18018.889,10902800,2725,167.9,33.1,153506.369981361,56,95098.3699813606,49799,1477893,57.2579981382616
101,2015,"Halden",30328,7126,1674,2495,1102,3402,1229,290,188,238,797,"Halden",22.2000007629395,330,0.0108810337260365,0.864778399467468,0.367381602525711,3.87883687019348,2.29999995231628,48575,1.60165524482727,4.71926932207861,10.4572012661567,0.506957267211817,7.38040754418359,2.65048799788974,2.60844763914534,2.24357029807439,19.2169612239515,1.6904510683197,0.3402466367713,2.69859535742548,3.13809021366394,8.37434054339224,1999,3574,19810,3476,1219,289,2051,495,208,2228,118,203,642.23,617,2730,17080,78739.42133333,207,892,1470,793,1027,1.62255957,6073,617,1382,177.125,13,19442,18018.889,19989400,2675,131,25.1,165573,57,103956,51452,1523537,59.2523410796993
101,2016,"Halden",30544,7122,1649,2525,1105,3563,1204,292,187,313,826,"Halden",17.8999996185303,266,0.00870874803513288,0.867306172847748,0.348915427923203,3.8702290058136,4.5,101525,3.32389330863953,4.26659900471451,10.9205735987428,0.470174174960712,7.38953640649555,2.90305788370875,3.03463855421687,2.51391435306443,20.5179413305395,1.65050419067575,0.303070979570456,2.62300288108958,3.02360529072813,8.07035751702462,1946,3633,20009,3645,1207,296,2033,482,209,2273,116,196,642.23,622,2741,17268,81993.94133333,204,879,1573,824,1071,1.65219505,6269,602,1344,181.16666667,12,17713,18018.889,34561200,2625,76.3,19.4,198447,67,120928,87321,1610697,62.9405119571466
101,2017,"Halden",30790,7033,1601,2545,1111,3702,1200,304,195,286,741,"Halden",18.1000003814697,270,0.00876908097416162,0.867002248764038,0.348915427923203,3.8702290058136,6.19999980926514,147805,4.80042219161987,4.5373173108152,11.0707047742774,0.504319584280611,7.3387463462163,2.85151023059435,3.32195518025333,2.42633972068854,20.7776550828191,1.71139980513154,0.388048067554401,2.94189671971419,3.13751217927899,8.68317635595973,1884,3615,20056,3778,1207,297,2026,453,266,2325,120,194,642.3,620,2736,17320,82574.09566667,224,850,1586,854,1060,1.53539969,6411,605,1279,200.24999997,11,17728,18018.889,48344000,2682,126.7,27.3,179335.038341069,60,105235.038341069,66248,1700095,65.8078271932438
101,2018,"Halden",31037,6996,1575,2509,1126,3865,1207,295,195,280,699,"Halden",18.5,271,0.00873151421546936,0.867770731449127,0.348915427923203,3.8702290058136,3.70000004768372,90199,2.90617656707764,5.14824242033702,11.3350517124722,0.531430228437027,8.1807842252795,3.10174952476077,3.43419144891581,2.48297193672069,21.3823823178787,1.62676805103586,0.425105519218997,3.40525824016496,3.29764474659278,9.28620678544963,1865,3624,20180,3951,1205,300,2047,387,258,2374,121,192,642.3,590,2720,17460,85975.564,211,820,1589,910,1040,1.30675218,6603,578,1287,198.555,12,14677,18018.889,34788950,2755,177.5,32.9,209594.890221904,64,128314.890221904,46824,1750580,67.2577569388919
104,2014,"Moss",31308,7309,1773,2490,1124,3531,1177,223,153,129,524,"Moss",51.0999984741211,825,0.0263510923832655,0.968000054359436,0.418114602565765,3.35761594772339,1.79999995231628,41117,1.31330645084381,2.96818704484477,10.3780183978536,0.834387377028236,7.26299987223713,2.17136195221669,3.7247668327584,1.9683467484349,19.6395170563434,2.5719624377156,0.500127762872109,2.5900728248371,2.89114603296282,9.38769643541587,2076,3605,20719,3655,1154,244,2439,511,216,2299,106,15,63.57,63,2737,17982,40939.73666667,254,964,1528,801,1157,1.94287744,6645,626,1450,160.75,31,21633,17554.889,26592000,3413,157.4,24,179031.3,78,97677.3,55920,1494958,58.8142007909486
104,2015,"Moss",31802,7357,1790,2531,1120,3769,1166,253,153,172,582,"Moss",51.0999984741211,777,0.0244324263185263,0.982296705245972,0.418114602565765,3.35761594772339,3.90000009536743,91265,2.86978816986084,3.41598012703604,10.2135085843658,0.828910131438274,7.21577259291868,2.10313816741085,3.61408087541664,1.85953713602918,19.118671781649,2.54141248978052,0.472800452801711,3.51477894472046,5.39437771209358,12.7522797308345,2091,3682,20951,3866,1164,245,2416,545,211,2409,117,14,63.57,64,2787,18164,43439.09966667,298,920,1663,869,1233,2.16509429,6918,657,1434,199.25,29,17220,17554.889,26483200,3274,142.3,22.4,158946,67,86519,45243,1541075,63.1627571655215
104,2016,"Moss",32182,7433,1752,2626,1125,3927,1170,261,151,208,561,"Moss",46.7000007629395,719,0.0223416816443205,0.982971847057343,0.502005219459534,3.73710060119629,3.90000009536743,97119,3.0178050994873,3.45568951587844,10.5637934248959,0.877260580448698,7.7378037412218,2.4000683611957,3.87701199428252,2.19054129637686,20.0155055621155,2.78773848735318,0.431980610279038,3.73155801379653,5.54250823441676,13.3710459262942,2077,3799,21082,3991,1183,267,2388,557,211,2456,120,15,63.57,64,2815,18267,43966.98433333,308,934,1883,885,1277,2.41832005,7173,651,1426,187.37499997,28,17639,17554.889,42418200,3135,116,23,187062,76,99130,110573,1652279,66.6292649217482
104,2017,"Moss",32407,7453,1756,2705,1124,4034,1190,250,151,250,607,"Moss",44.7999992370605,666,0.0205511152744293,0.982966661453247,0.502005219459534,3.73710060119629,4.09999990463257,107614,3.32070231437683,4.03798562039066,10.8249452278829,0.899836455086864,7.78862591415435,2.41450921097294,3.86077082111889,2.25074829512142,20.1209615206591,2.75014657327121,0.611966550436634,3.17564106520196,4.75329404141081,12.1908846854075,1992,3835,21071,4141,1226,264,2368,551,279,2521,123,14,63.57,64,2759,18312,43494.01166667,357,910,1930,907,1306,2.39779995,7386,585,1407,196.375,26,18198,17554.889,49323500,3187,142.7,27.5,189961,71,102276,90196,1757067,66.8101336100845
105,2014,"Sarpsborg",54059,13177,3194,4563,2007,5715,2030,460,318,319,965,"Sarpsborg",26,772,0.0142806936055422,0.904000043869019,0.506977558135986,3.23817873001099,-1.20000004768372,-45077,-0.833848178386688,2.91683160990769,10.9325736695092,0.471540354057604,7.87743021513532,2.22218317023992,3.57013633252557,2.191346491796,17.684196895984,1.72337631106754,0.547882868717512,1.92584028561387,3.45811058288167,8.12675040233819,3722,6572,35515,5839,2036,453,3968,965,370,3774,238,282,404.98,745,4885,30630,138852.264,530,1764,2397,1259,2706,3.14073284,9040,1139,2583,359.335,0,28311,32660.555,42959450,4979,135.2,24.9,160844,79,78447,87684,2680618,54.6876006090493
