Time;FØDEVARER OG IKKE-ALKOHOLISKE DRIKKEVARER;ALKOHOLISKE DRIKKEVARER OG TOBAK;BEKLÆDNING OG FODTØJ;BOLIGBENYTTELSE, ELEKTRICITET OG OPVARMNING;Sumloeb;Faste FØDEVARER;Faste ALKOHOL;Faste BEKLÆDNING;Faste BOLIG EL OG OPVARMNING
1994;25062;8010;10727;50399;94198;39309;12365;11208;85472
1995;26212;8020;10779;51691;96702;39326;12102;11235;88260
1996;26318;8390;11235;54002;99945;38520;12076;11616;89668
1997;27197;8778;11201;58251;105427;38678;12285;11682;94245
1998;28081;9015;11765;61570;110431;38801;12452;12100;97017
1999;27881;9351;12323;62811;112366;38206;12804;12581;95615
2000;28544;9114;12310;65742;115710;38203;12171;13110;95818
2001;28701;8687;11795;68638;117821;36996;11269;12863;97041
2002;28793;8372;11401;70395;118961;36160;10775;12327;95927
2003;29160;8444;11523;71193;120320;36095;10910;12285;95044
2004;29568;8078;11994;73736;123376;36956;11043;12600;96199
2005;30958;8331;12787;77741;129817;38472;11117;13474;98535
2006;32379;7645;15024;79661;134709;39187;10234;15906;98128
2007;34242;7293;16449;82249;140233;39800;9527;17153;99058
2008;35253;7564;16685;86699;146201;38230;9408;17663;100800
2009;33581;8015;14713;88741;145050;36645;9699;15388;101015
2010;34147;7871;14826;96206;153050;37223;9014;15505;105498
2011;35614;7532;13784;96028;152958;37323;8370;14145;101932
2012;36111;7248;14622;96017;153998;36475;7489;14778;99393
2013;36188;7337;14306;98650;156481;36443;7397;14387;99986
2014;36495;7430;13897;101465;159287;36946;7457;13885;101288
2015;36607;7010;12469;98127;154213;36607;7010;12469;98127
2016;36304;6692;11352;97158;151506;36306;6684;11637;96391
2017;36904;6588;11451;102441;157384;36010;6540;11980;100859
2018;38606;6705;12115;105834;163260;37766;6605;12792;103407
2019;37966;6933;11819;107656;164374;36648;6753;12875;103854
