Time;FOEDEVARER OG IKKE-ALKOHOLISKE DRIKKEVARER;ALKOHOLISKE DRIKKEVARER OG TOBAK;BEKLAEDNING OG FODTOEJ;BOLIGBENYTTELSE, ELEKTRICITET OG OPVARMNING;MOEBLER;SUNDHED;TRANSPORT;RESTAURANTER OG HOTELLER;Sumloeb;Faste FOEDEVARER;Faste ALKOHOL;Faste BEKLAEDNING;Faste BOLIG EL OG OPVARMNING;Faste MOEBLER;Faste SUNDHED;Faste TRANSPORT;Faste RESTAURANTER OG HOTELLER
1994;25062;8010;10727;50399;16146;5276;43106;12608;171334;39309;12365;11208;85472;12082;4123;28604;7222
1995;26212;8020;10779;51691;15884;5197;42679;12951;173413;39326;12102;11235;88260;12140;4059;29173;7669
1996;26318;8390;11235;54002;16351;5770;43358;12510;177934;38520;12076;11616;89668;12592;4580;30203;7665
1997;27197;8778;11201;58251;17338;5991;44903;12304;185963;38678;12285;11682;94245;13348;4746;32180;7671
1998;28081;9015;11765;61570;17613;6386;44673;13774;192877;38801;12452;12100;97017;14018;5110;32175;8810
1999;27881;9351;12323;62811;17549;6260;45655;14793;196623;38206;12804;12581;95615;14309;5025;34191;9908
2000;28544;9114;12310;65742;17306;6279;41625;14862;195782;38203;12171;13110;95818;14533;5131;32017;10234
2001;28701;8687;11795;68638;16988;6632;39658;14325;195424;36996;11269;12863;97041;14503;5515;31021;10208
2002;28793;8372;11401;70395;16650;7073;40064;14082;196830;36160;10775;12327;95927;14655;5926;32558;10168
2003;29160;8444;11523;71193;16857;7546;38340;13282;196345;36095;10910;12285;95044;15072;6305;32084;9731
2004;29568;8078;11994;73736;16798;7710;42083;13374;203341;36956;11043;12600;96199;15301;6574;36963;10057
2005;30958;8331;12787;77741;17966;8200;46640;15678;218301;38472;11117;13474;98535;16531;7196;42474;12016
2006;32379;7645;15024;79661;18222;9080;52416;16855;231282;39187;10234;15906;98128;17017;8084;48465;13298
2007;34242;7293;16449;82249;19635;9590;52799;20115;242372;39800;9527;17153;99058;18495;8556;49522;16431
2008;35253;7564;16685;86699;18913;9320;48790;19994;243218;38230;9408;17663;100800;18141;8223;46935;17158
2009;33581;8015;14713;88741;16580;8284;40680;16731;227325;36645;9699;15388;101015;16272;7585;38237;14747
2010;34147;7871;14826;96206;17651;8060;44757;17125;240643;37223;9014;15505;105498;17345;7536;43703;15421
2011;35614;7532;13784;96028;17660;7882;46285;17370;242155;37323;8370;14145;101932;17645;7581;46481;16182
2012;36111;7248;14622;96017;17689;7865;43662;17984;241198;36475;7489;14778;99393;17862;7587;44592;17278
2013;36188;7337;14306;98650;18253;7266;43396;17589;242985;36443;7397;14387;99986;18495;7066;43908;17166
2014;36495;7430;13897;101465;17798;7206;41982;17815;244088;36946;7457;13885;101288;17764;7172;42174;17558
2015;36607;7010;12469;98127;17141;7273;43571;15653;237851;36607;7010;12469;98127;17141;7273;43571;15653
2016;36304;6692;11352;97158;15488;7733;41034;16623;232384;36306;6684;11637;96391;15431;7715;40445;16908
2017;36904;6588;11451;102441;15360;7640;40603;18302;239289;36010;6540;11980;100859;15071;7701;40400;18846
2018;38606;6705;12115;105834;16190;7938;43957;18866;250211;37766;6605;12792;103407;15633;8073;44137;19895
2019;37966;6933;11819;107656;16361;7412;44363;18451;250961;36648;6753;12875;103854;15726;7673;45018;19749
;0.15128247;0.027625806;0.047094967;0.42897502;0.065193397;0.029534469;0.176772487;0.073521384;;36010;6540;11208;85472;12082;4059;28604;7222
;;;;;;;;;;3.601;0.654;1.1208;8.5472;1.2082;0.4059;2.8604;0.7222
;;;;;;;;;;1.8005;0.327;0.5604;4.2736;0.6041;0.20295;1.4302;0.3611
;;;;;;;;;;0.90025;0.1635;0.2802;2.1368;0.30205;0.101475;0.7151;0.18055
