"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,8876.5,20619.03,35290.94,10436.88,4427.18,14148.43,31259.13,28811.66,153869.75
"2",1995,9469.23,20524.51,36715.83,10994.29,4989.26,15526.25,32486.26,30495.28,161200.91
"3",1996,9546.38,21569.06,37927.49,13149.66,5718.87,14833.9,36110.17,30964.2,169819.73
"4",1997,9576.89,22206.91,38284.69,14183.2,5731.08,15641.28,35866.13,31585.85,173076.03
"5",1998,10084.43,24456.72,41138.53,14684.3,5228.32,19636.81,40637.54,35295.71,191162.36
"6",1999,11164.97,28014.32,41535.7,14291.5,6783.31,21516.65,44314.85,39878.07,207499.37
"7",2000,11698.15,27672.81,45499.56,15338.44,8026.58,26525.92,47341.73,42608.94,224712.13
"8",2001,11358.19,24512.48,43503.17,16050.34,7107.05,18228.02,44527.1,40078.51,205364.86
"9",2002,11185.81,24809.38,44269.48,16344.49,6691.05,19493.58,41930.68,40972.6,205697.07
"10",2003,11580.71,23954.95,45790.59,16480.92,6299.52,15151.48,39364.88,41218.49,199841.54
"11",2004,11116.07,24615.58,49029.8,18104.08,6523.49,26921.7,40707.2,46070.59,223088.51
"12",2005,11485.45,25793.28,54714.9,18543.43,7829.86,22957.58,43888.58,50512.8,235725.88
"13",2006,12409.76,25247.99,53977.92,19531.84,9374.89,26765.38,62043.74,55394.85,264746.37
"14",2007,13763.88,28543.49,56963.6,18757.1,9500.68,35166.24,61387.53,59872.14,283954.66
"15",2008,13484.1,27296.15,58936.11,21281.88,9057.27,29806.88,58380.6,63653.94,281896.93
"16",2009,12558.8,26993.32,63056.34,21291.42,7792.56,22036.77,50438.17,57446.62,261614
"17",2010,12881.63,25489.47,65041.18,26566.15,8304.17,23672.86,46887.84,55553.46,264396.76
"18",2011,13059.22,25598.59,62291.79,25084.08,9334.01,25358.01,44761.89,54279.13,259766.72
"19",2012,13834.11,24376.29,58968.34,23213.55,9103.38,23878.73,43710.04,57385.81,254470.25
"20",2013,13577.73,25245.12,62793.48,23484.69,8439.73,21971.79,44040,62968.42,262520.96
"21",2014,13067.74,24585.98,63165.66,23302.55,7529.4,22162.55,43378.41,60669.16,257861.45
"22",2015,12995.9,25618.83,66085.93,21220.07,6819.52,24020.78,41149.04,63052.87,260962.94
"23",2016,12981.93,25267.9,64891.83,19709.58,5298.91,15159.67,41329.02,57580.04,242218.88
"24",2017,13322.62,25598.31,67153.83,21877.29,5273.06,17653.36,39608.15,57324.73,247811.35
"25",2018,14196.51,27746.68,69849.71,21410.59,5911.05,25384.76,41664.26,67325.69,273489.25
"26",2019,13295.77,27408.91,66039.38,22531.94,6793.64,31962.06,41111.23,65807.73,274950.66
