"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,10081.93,22990.17,37721.06,11550.68,5373.36,23230.82,39888.59,34089.08,184925.69
"2",1995,10574.31,23657.74,38685.3,11786.28,5687.17,23485.74,40864.53,36218.29,190959.36
"3",1996,10548.99,24159.83,39533.15,13261.29,6017.62,24185.64,43247.94,36534.7,197489.16
"4",1997,10775.54,25199.13,42957.04,14055.71,6149.64,26030.64,44279.07,39535.51,208982.28
"5",1998,11183.79,25911.61,45620.95,14668.55,6202.25,25972.64,46179.53,42376.66,218115.98
"6",1999,11063.1,26168.61,46857.1,14579.48,7291.55,26899.61,47555.13,44959.92,225374.5
"7",2000,11481.64,26176.27,48815.47,15425.91,8027.29,23989.38,47780.8,45585.87,227282.63
"8",2001,11431.16,25956.83,49972.23,17057.6,7830.73,23190.34,47399.06,46396.31,229234.26
"9",2002,11452.44,25712.83,50961.72,17774.14,7518.59,25039.65,47947.11,46982.5,233388.98
"10",2003,11542.94,26061.25,51600.21,17939.4,7681.13,24402.93,49604.46,49722.97,238555.29
"11",2004,11848.7,25796.83,53782.25,18270.54,8321.02,28641.9,51682.66,51821.92,250165.82
"12",2005,12378.87,26910.09,56610.9,19256.99,9846.26,32627.72,57172.9,58173.43,272977.16
"13",2006,13287.7,26736.33,56953,20994.35,10889.55,37575.68,67027.43,63073.47,296537.51
"14",2007,13938.7,27596,60420.4,20204.91,9966.61,39555.5,67716.09,68634.62,308032.83
"15",2008,14523.08,28293.6,63080.98,21545.44,10207.06,36728.11,63481.93,70233.32,308093.52
"16",2009,13717.72,27878.14,66005,20432.2,8818.42,29418.21,56880.4,66337.29,289487.38
"17",2010,14069.19,27948.77,68570.97,25392.97,9819.47,33883.25,58250.59,67711.9,305647.11
"18",2011,14496.93,28648.9,69622.24,23817.41,10864.22,35616.83,57508.95,69367.64,309943.12
"19",2012,14918.88,28440.19,69775.38,23865.89,10991.06,33601.44,56478.09,72697.22,310768.15
"20",2013,14760.05,28765.48,71987.11,24281.76,9765.99,34141.75,55469.21,71772.54,310943.89
"21",2014,15149.73,28775.2,74733.52,24322.06,9498.98,32674.74,53694.88,72564.76,311413.87
"22",2015,14969.98,28646.72,73220.07,22306.15,8253.1,35317.61,51506.51,74363.07,308583.21
"23",2016,14673.41,28323.08,73889.45,20812.37,7246.75,33197.79,48493.23,72480.03,299116.11
"24",2017,14561.67,28930.55,76041.48,23918.91,7106.2,33293.93,47254.31,75021.85,306128.9
"25",2018,15026.28,30285.02,79347.69,23939.97,7554.1,36582.67,49854.99,79146.2,321736.92
"26",2019,14574.38,30324.47,81498.59,23580.47,7838.89,37178.68,50450.85,77808,323254.33
